cell_type,sex,ann_level_4,0
club cell,male,Club,18378
club cell,male,DC1,0
club cell,male,DC2,0
club cell,male,Deuterosomal,0
club cell,male,EC aerocyte capillary,0
club cell,male,EC general capillary,0
club cell,male,EC venous pulmonary,0
club cell,male,EC venous systemic,0
club cell,male,Goblet,0
club cell,male,Hillock-like,0
club cell,male,Interstitial macrophages,0
club cell,male,Ionocyte,0
club cell,male,Migratory DCs,0
club cell,male,Multiciliated,0
club cell,male,NK cells,0
club cell,male,Neuroendocrine,0
club cell,male,Non-classical monocytes,0
club cell,male,None,0
club cell,male,Peribronchial fibroblasts,0
club cell,male,Pericytes,0
club cell,male,Plasma cells,0
club cell,male,Plasmacytoid DCs,0
club cell,male,SMG duct,0
club cell,male,SMG mucous,0
club cell,male,SMG serous,0
club cell,male,Subpleural fibroblasts,0
club cell,male,Suprabasal,0
club cell,male,T cells proliferating,0
club cell,male,Transitional Club-AT2,0
club cell,male,Tuft,0
myofibroblast cell,female,AT2 proliferating,0
myofibroblast cell,female,Adventitial fibroblasts,0
myofibroblast cell,female,Alveolar fibroblasts,0
myofibroblast cell,female,Alveolar macrophages,0
myofibroblast cell,female,B cells,0
myofibroblast cell,female,Basal resting,0
myofibroblast cell,female,CD4 T cells,0
myofibroblast cell,female,CD8 T cells,0
myofibroblast cell,female,Classical monocytes,0
myofibroblast cell,female,Club,0
myofibroblast cell,female,DC1,0
myofibroblast cell,female,DC2,0
myofibroblast cell,female,Deuterosomal,0
myofibroblast cell,female,EC aerocyte capillary,0
myofibroblast cell,female,EC general capillary,0
myofibroblast cell,female,EC venous pulmonary,0
myofibroblast cell,female,EC venous systemic,0
myofibroblast cell,female,Goblet,0
myofibroblast cell,female,Hillock-like,0
myofibroblast cell,female,Interstitial macrophages,0
myofibroblast cell,female,Ionocyte,0
myofibroblast cell,female,Migratory DCs,0
myofibroblast cell,female,Multiciliated,0
myofibroblast cell,female,NK cells,0
myofibroblast cell,female,Neuroendocrine,0
myofibroblast cell,female,Non-classical monocytes,0
myofibroblast cell,female,None,364
myofibroblast cell,female,Peribronchial fibroblasts,0
myofibroblast cell,female,Pericytes,0
myofibroblast cell,female,Plasma cells,0
myofibroblast cell,female,Plasmacytoid DCs,0
myofibroblast cell,female,SMG duct,0
myofibroblast cell,female,SMG mucous,0
myofibroblast cell,female,SMG serous,0
myofibroblast cell,female,Subpleural fibroblasts,0
myofibroblast cell,female,Suprabasal,0
myofibroblast cell,female,T cells proliferating,0
myofibroblast cell,female,Transitional Club-AT2,0
myofibroblast cell,female,Tuft,0
myofibroblast cell,male,AT2 proliferating,0
myofibroblast cell,male,Adventitial fibroblasts,0
myofibroblast cell,male,Alveolar fibroblasts,0
myofibroblast cell,male,Alveolar macrophages,0
myofibroblast cell,male,B cells,0
myofibroblast cell,male,Basal resting,0
