cell_type,sex,ann_level_2,0
"CD8-positive, alpha-beta T cell",female,Hematopoietic stem cells,0
"CD8-positive, alpha-beta T cell",female,Lymphatic EC,0
"CD8-positive, alpha-beta T cell",female,Lymphoid,11300
"CD8-positive, alpha-beta T cell",female,Mesothelium,0
"CD8-positive, alpha-beta T cell",female,Myeloid,0
"CD8-positive, alpha-beta T cell",female,Smooth muscle,0
"CD8-positive, alpha-beta T cell",female,Submucosal Gland,0
"CD8-positive, alpha-beta T cell",male,Airway epithelium,0
"CD8-positive, alpha-beta T cell",male,Alveolar epithelium,0
"CD8-positive, alpha-beta T cell",male,Blood vessels,0
"CD8-positive, alpha-beta T cell",male,Fibroblast lineage,0
"CD8-positive, alpha-beta T cell",male,Hematopoietic stem cells,0
"CD8-positive, alpha-beta T cell",male,Lymphatic EC,0
"CD8-positive, alpha-beta T cell",male,Lymphoid,17774
"CD8-positive, alpha-beta T cell",male,Mesothelium,0
"CD8-positive, alpha-beta T cell",male,Myeloid,0
"CD8-positive, alpha-beta T cell",male,Smooth muscle,0
"CD8-positive, alpha-beta T cell",male,Submucosal Gland,0
plasmacytoid dendritic cell,female,Airway epithelium,0
plasmacytoid dendritic cell,female,Alveolar epithelium,0
plasmacytoid dendritic cell,female,Blood vessels,0
plasmacytoid dendritic cell,female,Fibroblast lineage,0
plasmacytoid dendritic cell,female,Hematopoietic stem cells,0
plasmacytoid dendritic cell,female,Lymphatic EC,0
plasmacytoid dendritic cell,female,Lymphoid,0
plasmacytoid dendritic cell,female,Mesothelium,0
plasmacytoid dendritic cell,female,Myeloid,166
plasmacytoid dendritic cell,female,Smooth muscle,0
plasmacytoid dendritic cell,female,Submucosal Gland,0
plasmacytoid dendritic cell,male,Airway epithelium,0
plasmacytoid dendritic cell,male,Alveolar epithelium,0
plasmacytoid dendritic cell,male,Blood vessels,0
plasmacytoid dendritic cell,male,Fibroblast lineage,0
plasmacytoid dendritic cell,male,Hematopoietic stem cells,0
plasmacytoid dendritic cell,male,Lymphatic EC,0
plasmacytoid dendritic cell,male,Lymphoid,0
plasmacytoid dendritic cell,male,Mesothelium,0
plasmacytoid dendritic cell,male,Myeloid,386
